country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Uttar Pradesh",Bareilly,"Rajendra Nagar, Bareilly - UPPCB","29-07-2026 14:00:00",28.38910936,79.42963708,NO2,7,12,9
India,"Uttar Pradesh",Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","29-07-2026 14:00:00",28.406963,77.849831,PM10,6,63,37
India,"Uttar Pradesh",Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","29-07-2026 14:00:00",28.406963,77.849831,NH3,5,29,14
India,"Uttar Pradesh","Fatehpur Sikri","Dadupura, Fatehpur Sikri - UPPCB","29-07-2026 14:00:00",27.097694,77.671335,PM2.5,12,24,23
India,"Uttar Pradesh","Fatehpur Sikri","Dadupura, Fatehpur Sikri - UPPCB","29-07-2026 14:00:00",27.097694,77.671335,NH3,2,2,2
India,"Uttar Pradesh","Fatehpur Sikri","Dadupura, Fatehpur Sikri - UPPCB","29-07-2026 14:00:00",27.097694,77.671335,OZONE,4,38,16
India,"Uttar Pradesh",Firozabad,"Nagla Bhau, Firozabad - UPPCB","29-07-2026 14:00:00",27.168897,78.37696,PM10,12,46,30
India,"Uttar Pradesh",Firozabad,"Nagla Bhau, Firozabad - UPPCB","29-07-2026 14:00:00",27.168897,78.37696,CO,5,28,21
India,"Uttar Pradesh",Gajraula,"Rajanpur, Gajraula - UPPCB","29-07-2026 14:00:00",28.829109,78.248796,NH3,0,3,2
India,"Uttar Pradesh",Gajraula,"Rajanpur, Gajraula - UPPCB","29-07-2026 14:00:00",28.829109,78.248796,CO,8,27,13
India,"Uttar Pradesh",Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.646233,77.358075,NO2,45,109,75
India,"Uttar Pradesh",Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","29-07-2026 14:00:00",28.685382,77.453839,NH3,3,12,5
